"DateTime";"Without Channels";"With Channels"
"2018-12-18 00:00:00";57;1992
"2018-12-19 00:00:00";57;2019
"2018-12-20 00:00:00";56;2057
"2018-12-21 00:00:00";55;2077
"2018-12-22 00:00:00";54;2096
"2018-12-23 00:00:00";54;2110
"2018-12-24 00:00:00";54;2130
"2018-12-25 00:00:00";55;2157
"2018-12-26 00:00:00";55;2157
"2018-12-27 00:00:00";55;2157
"2018-12-28 00:00:00";55;2157
"2018-12-29 00:00:00";55;2157
"2018-12-30 00:00:00";55;2157
"2018-12-31 00:00:00";55;2157
"2019-01-01 00:00:00";1;2297
"2019-01-02 00:00:00";54;2322
"2019-01-03 00:00:00";56;2342
"2019-01-04 00:00:00";53;2373
"2019-01-05 00:00:00";53;2395
"2019-01-06 00:00:00";54;2418
"2019-01-07 00:00:00";53;2443
"2019-01-08 00:00:00";1;2455
"2019-01-09 00:00:00";1;2467
"2019-01-10 00:00:00";1;2492
"2019-01-11 00:00:00";1;2505
"2019-01-12 00:00:00";1;2531
"2019-01-13 00:00:00";1;2559
"2019-01-14 00:00:00";1;2577
"2019-01-15 00:00:00";1;2592
"2019-01-16 00:00:00";1;2617
"2019-01-17 00:00:00";1;2606
"2019-01-18 00:00:00";1;2594
"2019-01-19 00:00:00";1;2591
"2019-01-20 00:00:00";61;2707
"2019-01-21 00:00:00";59;2722
"2019-01-22 00:00:00";60;2730
"2019-01-23 00:00:00";60;2750
"2019-01-24 00:00:00";504;2747
"2019-01-25 00:00:00";505;2900
"2019-01-26 00:00:00";60;2770
"2019-01-27 00:00:00";61;2781
"2019-01-28 00:00:00";58;2802
"2019-01-29 00:00:00";59;2810
"2019-01-30 00:00:00";61;2824
"2019-01-31 00:00:00";62;2840
"2019-02-01 00:00:00";63;2861
"2019-02-02 00:00:00";63;2887
"2019-02-03 00:00:00";63;2895
"2019-02-04 00:00:00";64;2912
"2019-02-05 00:00:00";64;2927
"2019-02-06 00:00:00";64;2958
"2019-02-07 00:00:00";65;2978
"2019-02-08 00:00:00";64;2989
"2019-02-09 00:00:00";62;3020
"2019-02-10 00:00:00";62;3051
"2019-02-11 00:00:00";63;3084
"2019-02-12 00:00:00";63;3145
"2019-02-13 00:00:00";63;3173
"2019-02-14 00:00:00";62;3206
"2019-02-15 00:00:00";63;3223
"2019-02-16 00:00:00";63;3237
"2019-02-17 00:00:00";63;3254
"2019-02-18 00:00:00";63;3281
"2019-02-19 00:00:00";62;3308
"2019-02-20 00:00:00";62;3336
"2019-02-21 00:00:00";62;3356
"2019-02-22 00:00:00";1;3353
"2019-02-23 00:00:00";61;3432
"2019-02-24 00:00:00";61;3481
"2019-02-25 00:00:00";61;3527
"2019-02-26 00:00:00";62;3560
"2019-02-27 00:00:00";1;3548
"2019-02-28 00:00:00";1;3561
"2019-03-01 00:00:00";1;3592
"2019-03-02 00:00:00";1;3618
"2019-03-03 00:00:00";1;3642
"2019-03-04 00:00:00";64;3632
"2019-03-05 00:00:00";61;3721
"2019-03-06 00:00:00";1;3702
"2019-03-07 00:00:00";60;3742
"2019-03-08 00:00:00";59;3796
"2019-03-09 00:00:00";59;3818
"2019-03-10 00:00:00";58;3879
"2019-03-11 00:00:00";58;3909
"2019-03-12 00:00:00";1;3817
"2019-03-13 00:00:00";58;3953
"2019-03-14 00:00:00";58;3978
"2019-03-15 00:00:00";58;4002
"2019-03-16 00:00:00";1;3900
"2019-03-17 00:00:00";56;4016
"2019-03-18 00:00:00";57;4017
"2019-03-19 00:00:00";59;4020
"2019-03-20 00:00:00";57;4019
"2019-03-21 00:00:00";57;4043
"2019-03-22 00:00:00";57;4053
"2019-03-23 00:00:00";56;4064
"2019-03-24 00:00:00";56;4062
"2019-03-25 00:00:00";58;4057
"2019-03-26 00:00:00";60;4057
"2019-03-27 00:00:00";59;4063
"2019-03-28 00:00:00";59;4081
"2019-03-29 00:00:00";59;4091
"2019-03-30 00:00:00";57;4098
"2019-03-31 00:00:00";56;4123
"2019-04-01 00:00:00";57;4131
"2019-04-02 00:00:00";56;4133
"2019-04-03 00:00:00";56;4136
"2019-04-04 00:00:00";1;4088
"2019-04-05 00:00:00";1;4096
"2019-04-06 00:00:00";52;4121
"2019-04-07 00:00:00";53;4135
"2019-04-08 00:00:00";54;4142
"2019-04-09 00:00:00";54;4140
"2019-04-10 00:00:00";55;4143
"2019-04-11 00:00:00";54;4165
"2019-04-12 00:00:00";54;4172
"2019-04-13 00:00:00";54;4180
"2019-04-14 00:00:00";54;4184
"2019-04-15 00:00:00";54;4191
"2019-04-16 00:00:00";54;4189
"2019-04-17 00:00:00";54;4200
"2019-04-18 00:00:00";55;4218
"2019-04-19 00:00:00";55;4226
"2019-04-20 00:00:00";55;4231
"2019-04-21 00:00:00";55;4228
"2019-04-22 00:00:00";55;4239
"2019-04-23 00:00:00";55;4242
"2019-04-24 00:00:00";55;4239
"2019-04-25 00:00:00";56;4266
"2019-04-26 00:00:00";55;4268
"2019-04-27 00:00:00";55;4285
"2019-04-28 00:00:00";55;4292
"2019-04-29 00:00:00";55;4316
"2019-04-30 00:00:00";56;4317
"2019-05-01 00:00:00";56;4308
"2019-05-02 00:00:00";55;4311
"2019-05-03 00:00:00";55;4305
"2019-05-04 00:00:00";55;4284
"2019-05-05 00:00:00";55;4283
"2019-05-06 00:00:00";55;4291
"2019-05-07 00:00:00";56;4295
"2019-05-08 00:00:00";57;4300
"2019-05-09 00:00:00";57;4308
"2019-05-10 00:00:00";1;4268
"2019-05-11 00:00:00";1;4285
"2019-05-12 00:00:00";1;4287
"2019-05-13 00:00:00";1;4285
"2019-05-14 00:00:00";1;4290
"2019-05-15 00:00:00";1;4292
"2019-05-16 00:00:00";1;4290
"2019-05-17 00:00:00";1;4300
"2019-05-18 00:00:00";1;4310
"2019-05-19 00:00:00";1;4315
"2019-05-20 00:00:00";1;4320
"2019-05-21 00:00:00";57;4366
"2019-05-22 00:00:00";57;4380
"2019-05-23 00:00:00";56;4388
"2019-05-24 00:00:00";56;4398
"2019-05-25 00:00:00";56;4400
"2019-05-26 00:00:00";56;4406
"2019-05-27 00:00:00";57;4415
"2019-05-28 00:00:00";57;4421
"2019-05-29 00:00:00";57;4430
"2019-05-30 00:00:00";57;4434
"2019-05-31 00:00:00";57;4440
"2019-06-01 00:00:00";57;4449
"2019-06-02 00:00:00";57;4460
"2019-06-03 00:00:00";57;4459
"2019-06-04 00:00:00";56;4461
"2019-06-05 00:00:00";57;4465
"2019-06-06 00:00:00";57;4468
"2019-06-07 00:00:00";59;4474
"2019-06-08 00:00:00";59;4473
"2019-06-09 00:00:00";59;4481
"2019-06-10 00:00:00";59;4468
"2019-06-11 00:00:00";59;4459
"2019-06-12 00:00:00";58;4462
"2019-06-13 00:00:00";59;4462
"2019-06-14 00:00:00";60;4473
"2019-06-15 00:00:00";60;4476
"2019-06-16 00:00:00";60;4481
"2019-06-17 00:00:00";60;4485
"2019-06-18 00:00:00";59;4483
"2019-06-19 00:00:00";59;4494
"2019-06-20 00:00:00";69;4501
"2019-06-21 00:00:00";72;4501
"2019-06-22 00:00:00";74;4495
"2019-06-23 00:00:00";74;4491
"2019-06-24 00:00:00";77;4501
"2019-06-25 00:00:00";77;4502
"2019-06-26 00:00:00";78;4501
"2019-06-27 00:00:00";80;4500
"2019-06-28 00:00:00";80;4499
"2019-06-29 00:00:00";80;4502
"2019-06-30 00:00:00";81;4495
"2019-07-01 00:00:00";81;4495
"2019-07-02 00:00:00";80;4498
"2019-07-03 00:00:00";81;4501
